"FIPS","NAME","SHAPE_AREA","SHAPE_LEN","ending","1","2"
19030,"Goshen",57896319.3286,33596.6754557,"hen",-72.1142175057327,43.2887010618268
19010,"Charlestown",98413692.2886,62539.4254501,"town",-72.396453461744,43.247179760872
19070,"Unity",97324851.5522,42507.3649378,"ty",-72.2704904355987,43.2983119372233
13035,"Chichester",55409505.3532,33331.4891558,"ter",-71.3972810854561,43.2577010509699
13040,"Concord",176199891.129,64018.7148905,"cord",-71.5583407929795,43.2318646453865
17005,"Barrington",127212667.907,45316.7719763,"ton",-71.0393415123928,43.2144066795243
17060,"Somersworth",25378966.0274,22045.8320483,"worth",-70.8815027176604,43.2541464383028
13025,"Bradford",94907454.8199,41023.8213631,"ford",-71.9694021017172,43.2356164863921
19045,"Lempster",85163391.3132,38162.2179794,"ster",-72.1834046596804,43.227897990381
15130,"Northwood",77988943.3054,38545.0277622,"wood",-71.2077113975651,43.2133460446619
19005,"Acworth",102220908.011,40663.7862898,"orth",-72.2900384748102,43.2172412267959
13055,"Epsom",88598725.4184,38405.6495699,"om",-71.3366869552361,43.2158965356427
13080,"Hopkinton",114862170.752,44187.5884931,"ton",-71.6964371504478,43.1986983959675
19075,"Washington",122844452.649,50913.2718036,"ton",-72.0912084649907,43.1841057358314
17010,"Dover",77024456.0999,43299.89095,"ver",-70.8803710872597,43.1887612755907
13105,"Pembroke",58540261.7389,47146.4476625,"broke",-71.4482574825192,43.1812953422422
17055,"Rollinsford",19558408.0447,19162.1912915,"ford",-70.838141223344,43.2220497543438
13065,"Henniker",113692528.596,42872.5859806,"ker",-71.8223234250419,43.1746430387056
15035,"Deerfield",134993870.531,57614.0479144,"field",-71.2550464280685,43.1387171290661
17030,"Madbury",32951307.4048,31783.3752689,"bury",-70.9382629812417,43.1748435520271
19040,"Langdon",42120314.4307,31899.5339156,"don",-72.385299709676,43.1692930088959
11060,"Hillsborough",114331605.778,44045.8079441,"borough",-71.9471892692938,43.1500539164718
15135,"Nottingham",125085018.399,52010.5587779,"ham",-71.1191054138253,43.1247059969644
5055,"Marlow",67791131.755,35827.6007441,"low",-72.217721045403,43.1318579756152
3035,"Effingham",103504127.268,44655.7149075,"ham",-71.0444829864449,43.7455061740409
9100,"Holderness",95415794.4769,43032.6850698,"ness",-71.5894792339268,43.7507704795136
3065,"Moultonborough",198882980.389,67811.6343327,"ton",-71.3800674593178,43.7255085788484
3085,"Tuftonboro",128777684.027,54378.7100377,"ton",-71.2643994658779,43.6741426557862
9085,"Hanover",123495502.499,46866.0770852,"ver",-72.1929505605716,43.7129109271535
1020,"Center Harbor",41898431.9122,38119.5651172,"ter",-71.5119849732954,43.7023411910402
9010,"Ashland",30742854.0743,24437.6973211,"land",-71.6309502527545,43.7149259686584
9045,"Canaan",140548363.931,48918.1378308,"an",-72.0485067300002,43.6784878866277
9095,"Hebron",48497978.069,26866.0340289,"ron",-71.7916245820796,43.6947699032511
9030,"Bridgewater",55495596.2552,37257.3863216,"ter",-71.6960733205529,43.6678788864095
9145,"Orange",60152571.096,35910.63601,"ge",-71.9387374587094,43.6536321584273
1040,"Meredith",139364512.156,71022.3916121,"ith",-71.5028085632981,43.6299581396697
9005,"Alexandria",111938988.548,53336.7350119,"ia",-71.8322970253014,43.6227842296559
3090,"Wakefield",115995837.142,52980.8462514,"field",-71.0102856077635,43.5912250884978
9110,"Lebanon",106575156.528,42910.4165802,"on",-72.2530376139957,43.6348050043687
1045,"New Hampton",98404936.2758,57386.7129571,"ton",-71.6346447403428,43.624934560693
3095,"Wolfeboro",150485332.637,53426.0966648,"boro",-71.1712188906153,43.6114401377054
9035,"Bristol",56925294.159,50579.3778808,"ol",-71.7302854705712,43.6190297422538
9065,"Enfield",112284581.596,46008.1120767,"field",-72.1163415134204,43.5981090789542
1025,"Gilford",139104955.335,57900.4994759,"ford",-71.3856861300687,43.5578224417184
3015,"Brookfield",59549478.8369,36966.9699041,"field",-71.0834152341899,43.5618594251407
1035,"Laconia",68206992.9806,38444.3436309,"ia",-71.479291660265,43.5721732014193
9075,"Grafton",109753933.566,43188.7765596,"ton",-71.9726665074476,43.5759216913235
1005,"Alton",214010184.783,80827.979548,"ton",-71.2454874931717,43.4907574563337
13045,"Danbury",97348999.7921,45749.6485295,"bury",-71.8666002933714,43.5280807334926
19055,"Plainfield",136374493.836,54079.9009415,"field",-72.2825174386206,43.5509854253974
1050,"Sanbornton",128136964.997,46351.7999596,"ton",-71.6026254428365,43.5280563045591
19035,"Grantham",71722776.0651,39682.1066589,"ham",-72.1499846255873,43.517602577666
17045,"New Durham",114310118.816,52259.5146943,"ham",-71.1404024165712,43.4638237218419
13070,"Hill",69324931.3787,38525.0990394,"ill",-71.7655765187434,43.5250651243474
19060,"Springfield",115022264.744,46622.4293739,"field",-72.03649790619,43.4928181332961
17040,"Milton",87705050.4105,48330.3304555,"ton",-71.0059350125123,43.4490596898179
13135,"Wilmot",76965721.3639,52137.7188006,"mot",-71.9173588189015,43.4523437258127
17035,"Middleton",47751785.0832,33576.3224101,"ton",-71.066767029621,43.4838455134562
1015,"Belmont",82791882.4019,40331.6002414,"mont",-71.474558007419,43.4686002195848
19020,"Cornish",111294746.605,49817.4552765,"ish",-72.3201849444132,43.4739177717844
13060,"Franklin",74677423.5982,45249.8949795,"lin",-71.6681241189805,43.4504369773482
1030,"Gilmanton",153352527.059,50573.0855422,"ton",-71.3619987660354,43.4280403163539
13010,"Andover",106036481.282,43596.0045229,"over",-71.7920755055671,43.4475100633561
1055,"Tilton",31070425.664,29666.7995475,"ton",-71.5740773172871,43.4674238578475
19025,"Croydon",98826930.9257,42952.1428405,"on",-72.1893504927526,43.4445461089062
13095,"New London",65075606.6946,37594.4015193,"on",-71.9895478128064,43.4184506984741
13100,"Northfield",74761785.408,44162.170429,"field",-71.572922084,43.4120307980668
19065,"Sunapee",64718469.7383,34969.2999341,"ee",-72.0895874411528,43.3917435429972
13115,"Salisbury",103557472.118,46124.8870086,"bury",-71.762320082653,43.3820970397848
19015,"Claremont",112686391.203,47003.5918813,"mont",-72.3369912347814,43.3793025930689
19050,"Newport",113893152.861,42835.1068138,"port",-72.1993354108,43.3649681062713
17020,"Farmington",95878647.4021,39368.4874472,"ton",-71.0744088373704,43.3637074222687
1010,"Barnstead",115476076.607,43197.922602,"stead",-71.2542757465067,43.3524499667528
11095,"Merrimack",86814165.4859,46234.4649077,"mack",-71.5203817017189,42.8557497079578
15170,"Seabrook",24927721.1508,25904.3190672,"brook",-70.8605767910371,42.8870940521321
11075,"Litchfield",39862744.7663,28705.4373512,"field",-71.4561724189302,42.84388104541
15175,"South Hampton",20831625.1073,21515.3204473,"ton",-70.9667467200924,42.8857162682017
