date,state,city,county,age,sex,vehicle_related,circumstance,location,activity,comments
2012-05-06,SD,Madison,Lake,29,M,NA,"Victim drowned when attempting to cross the flooded
  creek.",NA,NA,NA
2012-05-06,PR,Utuado,Utuado,73,M,NA,"Fisherman was swept away by a rapid surge of water
  in the Jayuya River.",NA,NA,NA
2012-05-05,OH,Nelsonville,Athens,74,F,NA,"A couple decided to stop their vehicle and wait out
  some high water. The vehicle became surrounded by rising water, forcing the
  passengers to make an attempt to walk to nearby higher ground. The wife was
  swept away and drowned, her body was found about a half mile downstream. The
  husband was helped to safety by neighbors using a garden hose.",NA,NA,NA
2012-04-29,KS,Independence,Montgomery,43,F,Yes,"Truck hydroplaned into the flooded Coal Creek
  during a night of heavy rain.",NA,NA,NA
2012-03-24,AR,French,Fulton,4,M,NA,"Victim was helping clean up flood damage along the
  South Fork of the Spring River. According to news reports, a group of older
  boys left the clean-up site to return to their camping area. Sometime
  thereafter, the younger boy asked if he could catch up with the other boys.
  At some point, the boy ended up drowning in the river, which was described as
  high and rolling. His body was recovered on the 28th.",NA,NA,NA
2012-03-24,VA,Buckingham,Buckingham,61,F,Yes,"Victim was found deceased inside a pickup truck
  several days after she was reported missing. The truck was found on its side
  and wedged against a tree, about 300 yards from a dirt driveway that crossed
  Grease Creek. The sheriff's office said a preliminary investigation indicated
  that flood waters disabled the truck and carried it downstream when the
  driver tried to drive across the flooded low-water crossing.",NA,NA,NA
2012-03-21,TX,Bridge City,Orange,75,M,Yes,"A car was found in a ditch in Orange near the Lake
  Cypress-Mauriceville High School the next day. The driver had driven into the
  ditch after the rain had stopped during the night and drowned.",NA,NA,NA
2012-03-21,AR,Little Rock,Pulaski,46,F,NA,"Victim was found in Rock Creek near the low-water
  bridge on the evening of the 21st. She had apparently been in the water since
  earlier in the day. The circumstances of how she ended up in the creek were
  unknown, but she had apparently been on foot. The state medical examiner
  ruled that drowning was the cause of death.",NA,NA,NA
2012-03-20,TX,Fedor,Lee,45,F,Yes,Vehicle swept away while crossing West Yegua Creek.,NA,NA,NA
2012-01-18,OR,Albany,Linn,18,F,Yes,"A car carrying a family of four was swept from a
  parking lot into Periwinkle Creek. The father and one son were rescued, but
  the mother and 20-month old child drowned.",NA,NA,NA
2012-01-18,OR,Albany,Linn,1,M,Yes,"""",NA,NA,NA
2011-12-25,CA,Chino,San Bernadino,67,F,NA,NA,NA,NA,NA
2011-12-22,CA,Sun City,Riverside,39,F,NA,NA,NA,NA,NA
2011-11-30,KY,"New
  Haven",Nelson,71,M,Yes,NA,NA,NA,NA
2011-11-07,PR,Arecibo,Arecibo,30,M,Yes,NA,NA,NA,NA
2011-11-07,PR,Arecibo,Arecibo,42,M,Yes,NA,NA,NA,NA
2011-11-07,PR,Arecibo,Arecibo,40,M,Yes,NA,NA,NA,NA
2011-11-07,PR,Arecibo,Arecibo,34,M,Yes,NA,NA,NA,NA
2011-11-07,PR,Arecibo,Arecibo,21,M,Yes,NA,NA,NA,NA
2011-11-07,PR,Arecibo,Arecibo,24,M,Yes,NA,NA,NA,NA
2011-11-07,PR,Arecibo,Arecibo,30,M,Yes,NA,NA,NA,NA
2011-11-07,PR,Arecibo,Arecibo,NA,M,Yes,NA,NA,NA,NA
2011-09-26,WI,"Ives
  Grove",Racine,76,M,NA,NA,NA,NA,NA
2011-09-15,AZ,Tuscon,Pima,NA,M,NA,NA,NA,NA,NA
2011-09-10,PA,"Swatara
  Township",Lebanon,55,M,NA,NA,NA,NA,NA
2011-09-09,PA,"Swatara
  Township",Dauphin,54,F,NA,NA,NA,NA,NA
2011-09-09,PA,"Middle
  Paxton Township",Dauphin,81,M,Yes,NA,NA,NA,NA
2011-09-09,VA,Sebrell,Southampton,48,F,Yes,NA,NA,NA,NA
2011-09-08,PA,"Swatara
  Township",Dauphin,87,M,Yes,NA,NA,NA,NA
2011-09-08,PA,Brickerville,Lancaster,62,F,Yes,NA,NA,NA,NA
2011-09-08,PA,Wysox,Bradford,92,F,NA,NA,NA,NA,NA
2011-09-08,PA,"Penn
  Township",Lancaster,53,M,NA,NA,NA,NA,NA
2011-09-08,PA,"East
  Cocalico Township",Lancaster,8,M,NA,NA,NA,NA,NA
2011-09-08,VA,"Great
  Falls",Fairfax,67,M,Yes,NA,NA,NA,NA
2011-09-08,VA,Lorton,Fairfax,25,M,Yes,NA,NA,NA,NA
2011-09-08,VA,Vienna,Fairfax,12,M,NA,NA,NA,NA,NA
2011-09-07,MD,Pasadena,"Anne
  Arundel",49,M,NA,NA,NA,NA,NA
2011-09-07,PA,"Derry
  Township",Dauphin,70,M,NA,NA,NA,NA,NA
2011-09-07,PA,"East
  Germantown",Philadelphia,27,F,NA,NA,NA,NA,NA
2011-09-05,MS,Short,Tishmingo,57,M,Yes,NA,NA,NA,NA
2011-08-30,NJ,Lawrence,Mercer,47,M,NA,NA,NA,NA,NA
2011-08-29,NY,Glen,Montgomery,72,M,Yes,NA,NA,NA,NA
2011-08-29,VT,Wilmington,Windham,21,F,Yes,NA,NA,NA,NA
2011-08-28,CT,Bristol,Hartford,46,M,NA,NA,NA,NA,NA
2011-08-28,DE,Milford,"New
  Castle",25,M,NA,NA,NA,NA,NA
2011-08-28,DE,Milford,"New
  Castle",25,M,NA,NA,NA,NA,NA
2011-08-28,NJ,Pilesgrove,Salem,20,F,Yes,NA,NA,NA,NA
2011-08-28,NJ,Kearny,Hudson,47,M,NA,NA,NA,NA,NA
2011-08-28,NJ,Princeton,Mercer,39,M,NA,NA,NA,NA,NA
2011-08-28,NJ,"Dover
  Township",Morris,NA,M,NA,NA,NA,NA,NA
2011-08-28,NY,Tuxedo,Orange,52,M,Yes,NA,NA,NA,NA
2011-08-28,NY,Clarksville,Albany,68,F,NA,NA,NA,NA,NA
2011-08-28,NY,Windham,Greene,79,F,NA,NA,NA,NA,NA
2011-08-28,NY,Lanesville,Greene,70,M,NA,NA,NA,NA,NA
2011-08-28,NY,Fleischmanns,Delaware,82,F,NA,NA,NA,NA,NA
2011-08-28,NY,Altona,Clinton,23,M,Yes,NA,NA,NA,NA
