"congress","last","first","state","party","score"
"112th","Snowe","Olympia","ME","R",2.081488
"112th","Collins","Susan","ME","R",1.533183
"112th","Murkowski","Lisa","AK","R",1.509344
"112th","Manchin","Joe","WV","D",0.869413
"112th","Grassley","Chuck","IA","R",0.728107
"112th","Brown","Scott","MA","R",0.651887
"112th","Kirk","Mark","IL","R",0.627258
"112th","Conrad","Kent","ND","D",0.562812
"112th","McCaskill","Claire","MO","D",0.495112
"112th","Pryor","Mark","AR","D",0.404719
"112th","Begich","Mark","AK","D",0.392413
"112th","Lieberman","Joe","CT","D",0.389837
"112th","Landrieu","Mary","LA","D",0.318963
"112th","Nelson","Bill","FL","D",0.226657
"112th","Blunt","Roy","MO","R",0.223598
"112th","Shaheen","Jeanne","NH","D",0.198168
"112th","Portman","Rob","OH","R",0.185773
"112th","Nelson","Ben","NE","D",0.147509
"112th","Boozman","John","AR","R",0.037841
"112th","Isakson","Johnny","GA","R",-0.03851
"112th","Johnson","Tim","SD","D",-0.04288
"112th","Warner","Mark","VA","D",-0.04552
"112th","Alexander","Lamar","TN","R",-0.0494
"112th","Klobuchar","Amy","MN","D",-0.05525
"112th","Tester","Jon","MT","D",-0.07894
"112th","Cochran","Thad","MS","R",-0.10865
"112th","Hoeven","John","ND","R",-0.11976
"112th","Crapo","Mike","ID","R",-0.14587
"112th","Webb","Jim","VA","D",-0.14716
"112th","Udall","Mark","CO","D",-0.19511
"112th","Burr","Richard","NC","R",-0.19975
"112th","Bingaman","Jeff","NM","D",-0.24146
"112th","Kohl","Herb","WI","D",-0.25333
"112th","Cardin","Ben","MD","D",-0.27569
"112th","Carper","Tom","DE","D",-0.28793
"112th","Coburn","Tom","OK","R",-0.28924
"112th","Hutchison","Kay","TX","R",-0.29023
"112th","Johanns","Mike","NE","R",-0.3044
"112th","Wyden","Ron","OR","D",-0.31321
"112th","Corker","Bob","TN","R",-0.32468
"112th","Ayotte","Kelly","NH","R",-0.40915
"112th","Thune","John","SD","R",-0.42003
"112th","Heller","Dean","NV","R",-0.42524
"112th","Stabenow","Debbie","MI","D",-0.42837
"112th","Roberts","Pat","KS","R",-0.43788
"112th","Hagan","Kay","NC","D",-0.45734
"112th","Leahy","Patrick","VT","D",-0.46341
"112th","Lugar","Richard","IN","R",-0.51131
"112th","Cantwell","Maria","WA","D",-0.5206
"112th","Enzi","Mike","WY","R",-0.52546
"112th","Bennet","Michael","CO","D",-0.54173
"112th","Baucus","Max","MT","D",-0.54218
"112th","Moran","Jerry","KS","R",-0.56987
"112th","Whitehouse","Sheldon","RI","D",-0.57005
"112th","Kerry","John","MA","D",-0.61321
"112th","Durbin","Dick","IL","D",-0.63792
"112th","Feinstein","Dianne","CA","D",-0.65222
"112th","Reed","Jack","RI","D",-0.65399
"112th","Rubio","Marco","FL","R",-0.67835
"112th","Akaka","Daniel","HI","D",-0.71658
"112th","Sessions","Jeff","AL","R",-0.71915
"112th","Coons","Chris","MD","D",-0.75225
"112th","Toomey","Pat","PA","R",-0.75798
"112th","Harkin","Tom","IA","D",-0.77372
"112th","Boxer","Barbara","CA","D",-0.77756
"112th","McCain","John","AZ","R",-0.83075
"112th","Merkley","Jeff","OR","D",-0.83459
"112th","Mikulski","Barbara","MD","D",-0.85122
"112th","Franken","Al","MN","D",-0.8607
"112th","Udall","Tom","NM","D",-0.87324
"112th","Schumer","Chuck","NY","D",-0.89017
"112th","Inouye","Daniel","HI","D",-0.92251
"112th","Casey","Bob","PA","D",-0.92346
"112th","Rockefeller","Jay","WV","D",-0.93095
"112th","Blumenthal","Richard","CT","D",-0.93761
"112th","Vitter","David","LA","R",-0.97178
"112th","Gillibrand","Kirsten","NY","D",-0.98966
"112th","Wicker","Roger","MS","R",-1.01025
"112th","Graham","Lindsey","SC","R",-1.05669
"112th","Murray","Patty","WA","D",-1.05965
"112th","Cornyn","John","TX","R",-1.0794
"112th","Menéndez","Bob","NJ","D",-1.09034
"112th","Inhofe","Jim","OK","R",-1.10199
"112th","Levin","Carl","MI","D",-1.11181
"112th","Chambliss","Saxby","GA","R",-1.13754
"112th","Barrasso","John","WY","R",-1.16826
"112th","Brown","Sherrod","OH","D",-1.19045
"112th","Shelby","Richard","AL","R",-1.21059
"112th","Kyl","Jon","AZ","R",-1.27156
"112th","Hatch","Orrin","UT","R",-1.36047
"112th","Lautenberg","Frank","NJ","D",-1.45787
"112th","Risch","Jim","ID","R",-1.63499
"112th","Sanders","Bernie","VT","D",-1.71773
"112th","Lee","Mike","UT","R",-1.81647
"112th","Paul","Rand","KY","R",-1.90618
"112th","Johnson","Ron","WI","R",-2.00491
"112th","Coats","Dan","IN","R",-2.00828
"112th","DeMint","Jim","SC","R",-2.09564
"112th","Akaka","Daniel","HI","D",-0.71658
"112th","Alexander","Lamar","TN","R",-0.0494
"112th","Ayotte","Kelly","NH","R",-0.40915
"112th","Barrasso","John","WY","R",-1.16826
"112th","Baucus","Max","MT","D",-0.54218
"112th","Begich","Mark","AK","D",0.392413
"112th","Bennet","Michael","CO","D",-0.54173
"112th","Bingaman","Jeff","NM","D",-0.24146
"112th","Blumenthal","Richard","CT","D",-0.93761
"112th","Blunt","Roy","MO","R",0.223598
"112th","Boozman","John","AR","R",0.037841
"112th","Boxer","Barbara","CA","D",-0.77756
"112th","Brown","Scott","MA","R",0.651887
"112th","Brown","Sherrod","OH","D",-1.19045
"112th","Burr","Richard","NC","R",-0.19975
"112th","Cantwell","Maria","WA","D",-0.5206
"112th","Cardin","Ben","MD","D",-0.27569
"112th","Carper","Tom","DE","D",-0.28793
"112th","Casey","Bob","PA","D",-0.92346
"112th","Chambliss","Saxby","GA","R",-1.13754
"112th","Coats","Dan","IN","R",-2.00828
"112th","Coburn","Tom","OK","R",-0.28924
"112th","Cochran","Thad","MS","R",-0.10865
"112th","Collins","Susan","ME","R",1.533183
"112th","Conrad","Kent","ND","D",0.562812
"112th","Coons","Chris","MD","D",-0.75225
"112th","Corker","Bob","TN","R",-0.32468
"112th","Cornyn","John","TX","R",-1.0794
"112th","Crapo","Mike","ID","R",-0.14587
"112th","DeMint","Jim","SC","R",-2.09564
"112th","Durbin","Dick","IL","D",-0.63792
"112th","Enzi","Mike","WY","R",-0.52546
"112th","Feinstein","Dianne","CA","D",-0.65222
"112th","Franken","Al","MN","D",-0.8607
"112th","Gillibrand","Kirsten","NY","D",-0.98966
"112th","Graham","Lindsey","SC","R",-1.05669
"112th","Grassley","Chuck","IA","R",0.728107
"112th","Hagan","Kay","NC","D",-0.45734
"112th","Harkin","Tom","IA","D",-0.77372
"112th","Hatch","Orrin","UT","R",-1.36047
"112th","Heller","Dean","NV","R",-0.42524
"112th","Hoeven","John","ND","R",-0.11976
"112th","Hutchison","Kay","TX","R",-0.29023
"112th","Inhofe","Jim","OK","R",-1.10199
"112th","Inouye","Daniel","HI","D",-0.92251
"112th","Isakson","Johnny","GA","R",-0.03851
"112th","Johanns","Mike","NE","R",-0.3044
"112th","Johnson","Tim","SD","D",-0.04288
"112th","Johnson","Ron","WI","R",-2.00491
"112th","Kerry","John","MA","D",-0.61321
"112th","Kirk","Mark","IL","R",0.627258
"112th","Klobuchar","Amy","MN","D",-0.05525
"112th","Kohl","Herb","WI","D",-0.25333
"112th","Kyl","Jon","AZ","R",-1.27156
"112th","Landrieu","Mary","LA","D",0.318963
"112th","Lautenberg","Frank","NJ","D",-1.45787
"112th","Leahy","Patrick","VT","D",-0.46341
"112th","Lee","Mike","UT","R",-1.81647
"112th","Levin","Carl","MI","D",-1.11181
"112th","Lieberman","Joe","CT","D",0.389837
"112th","Lugar","Richard","IN","R",-0.51131
"112th","Manchin","Joe","WV","D",0.869413
"112th","McCain","John","AZ","R",-0.83075
"112th","McCaskill","Claire","MO","D",0.495112
"112th","Menéndez","Bob","NJ","D",-1.09034
"112th","Merkley","Jeff","OR","D",-0.83459
"112th","Mikulski","Barbara","MD","D",-0.85122
"112th","Moran","Jerry","KS","R",-0.56987
"112th","Murkowski","Lisa","AK","R",1.509344
"112th","Murray","Patty","WA","D",-1.05965
"112th","Nelson","Bill","FL","D",0.226657
"112th","Nelson","Ben","NE","D",0.147509
"112th","Paul","Rand","KY","R",-1.90618
"112th","Portman","Rob","OH","R",0.185773
"112th","Pryor","Mark","AR","D",0.404719
"112th","Reed","Jack","RI","D",-0.65399
"112th","Risch","Jim","ID","R",-1.63499
"112th","Roberts","Pat","KS","R",-0.43788
"112th","Rockefeller","Jay","WV","D",-0.93095
"112th","Rubio","Marco","FL","R",-0.67835
"112th","Sanders","Bernie","VT","D",-1.71773
"112th","Schumer","Chuck","NY","D",-0.89017
"112th","Sessions","Jeff","AL","R",-0.71915
"112th","Shaheen","Jeanne","NH","D",0.198168
"112th","Shelby","Richard","AL","R",-1.21059
"112th","Snowe","Olympia","ME","R",2.081488
"112th","Stabenow","Debbie","MI","D",-0.42837
"112th","Tester","Jon","MT","D",-0.07894
"112th","Thune","John","SD","R",-0.42003
"112th","Toomey","Pat","PA","R",-0.75798
"112th","Udall","Mark","CO","D",-0.19511
"112th","Udall","Tom","NM","D",-0.87324
"112th","Vitter","David","LA","R",-0.97178
"112th","Warner","Mark","VA","D",-0.04552
"112th","Webb","Jim","VA","D",-0.14716
"112th","Whitehouse","Sheldon","RI","D",-0.57005
"112th","Wicker","Roger","MS","R",-1.01025
"112th","Wyden","Ron","OR","D",-0.31321
"111th","Snowe","Olympia","ME","R",2.637516
"111th","Lugar","Richard","IN","R",2.102551
"111th","Collins","Susan","ME","R",2.003958
"111th","Voinovich","George","OH","R",1.96472
"111th","Murkowski","Lisa","AK","R",1.199511
"111th","Grassley","Chuck","IA","R",1.082102
"111th","Conrad","Kent","ND","D",1.021832
"111th","Gregg","Judd","NH","R",0.764227
"111th","Crapo","Mike","ID","R",0.703419
"111th","Cochran","Thad","MS","R",0.685287
"111th","Hatch","Orrin","UT","R",0.551959
"111th","Lincoln","Blanche","AR","D",0.469925
"111th","Bayh","Evan","IN","D",0.444763
"111th","Thune","John","SD","R",0.397185
"111th","Dorgan","Byron","ND","D",0.378719
"111th","Ensign","John","NV","R",0.365479
"111th","Enzi","Mike","WY","R",0.345669
"111th","Brown","Scott","MA","R",0.316876
"111th","Johanns","Mike","NE","R",0.307286
"111th","Nelson","Ben","NE","D",0.295855
"111th","LeMieux","George","FL","R",0.29253
"111th","Burr","Richard","NC","R",0.283684
"111th","Baucus","Max","MT","D",0.19785
"111th","Landrieu","Mary","LA","D",0.195274
"111th","Bond","Kit","MO","R",0.161932
"111th","Lieberman","Joe","CT","D",0.105543
"111th","Nelson","Bill","FL","D",0.104082
"111th","McCaskill","Claire","MO","D",0.089682
"111th","McCain","John","AZ","R",0.056456
"111th","Corker","Bob","TN","R",0.040318
"111th","Brownback","Sam","KS","R",0.012582
"111th","Hutchison","Kay","TX","R",0.008974
"111th","Isakson","Johnny","GA","R",-0.05154
"111th","Brown","Sherrod","OH","D",-0.0545
"111th","Graham","Lindsey","SC","R",-0.10075
"111th","Bingaman","Jeff","NM","D",-0.13293
"111th","Alexander","Lamar","TN","R",-0.1335
"111th","Pryor","Mark","AR","D",-0.13924
"111th","Akaka","Daniel","HI","D",-0.15392
"111th","Leahy","Patrick","VT","D",-0.20408
"111th","Shaheen","Jeanne","NH","D",-0.24298
"111th","Johnson","Tim","SD","D",-0.24317
"111th","Roberts","Pat","KS","R",-0.24327
"111th","Kohl","Herb","WI","D",-0.26205
"111th","Mikulski","Barbara","MD","D",-0.27657
"111th","Harkin","Tom","IA","D",-0.28458
"111th","Kerry","John","MA","D",-0.31083
"111th","Webb","Jim","VA","D",-0.31156
"111th","Carper","Tom","DE","D",-0.31705
"111th","Klobuchar","Amy","MN","D",-0.32023
"111th","Wyden","Ron","OR","D",-0.35241
"111th","Feingold","Russ","WI","D",-0.35243
"111th","Warner","Mark","VA","D",-0.36639
"111th","Wicker","Roger","MS","R",-0.37067
"111th","Chambliss","Saxby","GA","R",-0.39221
"111th","Begich","Mark","AK","D",-0.39899
"111th","Durbin","Dick","IL","D",-0.43106
"111th","Rockefeller","Jay","WV","D",-0.45928
"111th","Stabenow","Debbie","MI","D",-0.47264
"111th","Tester","Jon","MT","D",-0.48152
"111th","Sessions","Jeff","AL","R",-0.50229
"111th","Vitter","David","LA","R",-0.50416
"111th","Bunning","Jim","KY","R",-0.51324
"111th","Kaufman","Ted","DE","D",-0.53238
"111th","Barrasso","John","WY","R",-0.53507
"111th","Cornyn","John","TX","R",-0.54
"111th","Cardin","Ben","MD","D",-0.55949
"111th","Cantwell","Maria","WA","D",-0.60268
"111th","Udall","Mark","CO","D",-0.63468
"111th","Schumer","Chuck","NY","D",-0.65208
"111th","Franken","Al","MN","D",-0.65362
"111th","Bennett","Bob","UT","R",-0.70213
"111th","Dodd","Chris","CT","D",-0.7232
"111th","Murray","Patty","WA","D",-0.75717
"111th","Boxer","Barbara","CA","D",-0.76087
"111th","Inouye","Daniel","HI","D",-0.77691
"111th","Byrd","Robert","WV","D",-0.7914
"111th","Whitehouse","Sheldon","RI","D",-0.79176
"111th","Merkley","Jeff","OR","D",-0.79883
"111th","Risch","Jim","ID","R",-0.81773
"111th","Inhofe","Jim","OK","R",-0.81905
"111th","Reed","Jack","RI","D",-0.8462
"111th","Feinstein","Dianne","CA","D",-0.87923
"111th","Hagan","Kay","NC","D",-0.88445
"111th","Bennet","Michael","CO","D",-0.90316
"111th","Kyl","Jon","AZ","R",-1.04074
"111th","Shelby","Richard","AL","R",-1.04134
"111th","Coburn","Tom","OK","R",-1.06829
"111th","Specter","Arlen","PA","D",-1.06881
"111th","Levin","Carl","MI","D",-1.07376
"111th","Sanders","Bernie","VT","D",-1.12887
"111th","Lautenberg","Frank","NJ","D",-1.15806
"111th","Udall","Tom","NM","D",-1.16001
"111th","Menéndez","Bob","NJ","D",-1.17711
"111th","Casey","Bob","PA","D",-1.24687
"111th","Gillibrand","Kirsten","NY","D",-1.38419
"111th","Burris","Roland","IL","D",-1.46384
"111th","DeMint","Jim","SC","R",-1.84915
"111th","Akaka","Daniel","HI","D",-0.15392
"111th","Alexander","Lamar","TN","R",-0.1335
"111th","Barrasso","John","WY","R",-0.53507
"111th","Baucus","Max","MT","D",0.19785
"111th","Bayh","Evan","IN","D",0.444763
"111th","Begich","Mark","AK","D",-0.39899
"111th","Bennet","Michael","CO","D",-0.90316
"111th","Bennett","Bob","UT","R",-0.70213
"111th","Bingaman","Jeff","NM","D",-0.13293
"111th","Bond","Kit","MO","R",0.161932
"111th","Boxer","Barbara","CA","D",-0.76087
"111th","Brown","Scott","MA","R",0.316876
"111th","Brown","Sherrod","OH","D",-0.0545
"111th","Brownback","Sam","KS","R",0.012582
"111th","Bunning","Jim","KY","R",-0.51324
"111th","Burr","Richard","NC","R",0.283684
"111th","Burris","Roland","IL","D",-1.46384
"111th","Byrd","Robert","WV","D",-0.7914
"111th","Cantwell","Maria","WA","D",-0.60268
"111th","Cardin","Ben","MD","D",-0.55949
"111th","Carper","Tom","DE","D",-0.31705
"111th","Casey","Bob","PA","D",-1.24687
"111th","Chambliss","Saxby","GA","R",-0.39221
"111th","Coburn","Tom","OK","R",-1.06829
"111th","Cochran","Thad","MS","R",0.685287
"111th","Collins","Susan","ME","R",2.003958
"111th","Conrad","Kent","ND","D",1.021832
"111th","Corker","Bob","TN","R",0.040318
"111th","Cornyn","John","TX","R",-0.54
"111th","Crapo","Mike","ID","R",0.703419
"111th","DeMint","Jim","SC","R",-1.84915
"111th","Dodd","Chris","CT","D",-0.7232
"111th","Dorgan","Byron","ND","D",0.378719
"111th","Durbin","Dick","IL","D",-0.43106
"111th","Ensign","John","NV","R",0.365479
"111th","Enzi","Mike","WY","R",0.345669
"111th","Feingold","Russ","WI","D",-0.35243
"111th","Feinstein","Dianne","CA","D",-0.87923
"111th","Franken","Al","MN","D",-0.65362
"111th","Gillibrand","Kirsten","NY","D",-1.38419
"111th","Graham","Lindsey","SC","R",-0.10075
"111th","Grassley","Chuck","IA","R",1.082102
"111th","Gregg","Judd","NH","R",0.764227
"111th","Hagan","Kay","NC","D",-0.88445
"111th","Harkin","Tom","IA","D",-0.28458
"111th","Hatch","Orrin","UT","R",0.551959
"111th","Hutchison","Kay","TX","R",0.008974
"111th","Inhofe","Jim","OK","R",-0.81905
"111th","Inouye","Daniel","HI","D",-0.77691
"111th","Isakson","Johnny","GA","R",-0.05154
"111th","Johanns","Mike","NE","R",0.307286
"111th","Johnson","Tim","SD","D",-0.24317
"111th","Kaufman","Ted","DE","D",-0.53238
"111th","Kerry","John","MA","D",-0.31083
"111th","Klobuchar","Amy","MN","D",-0.32023
"111th","Kohl","Herb","WI","D",-0.26205
"111th","Kyl","Jon","AZ","R",-1.04074
"111th","Landrieu","Mary","LA","D",0.195274
"111th","Lautenberg","Frank","NJ","D",-1.15806
"111th","Leahy","Patrick","VT","D",-0.20408
"111th","LeMieux","George","FL","R",0.29253
"111th","Levin","Carl","MI","D",-1.07376
"111th","Lieberman","Joe","CT","D",0.105543
"111th","Lincoln","Blanche","AR","D",0.469925
"111th","Lugar","Richard","IN","R",2.102551
"111th","McCain","John","AZ","R",0.056456
"111th","McCaskill","Claire","MO","D",0.089682
"111th","Menéndez","Bob","NJ","D",-1.17711
"111th","Merkley","Jeff","OR","D",-0.79883
"111th","Mikulski","Barbara","MD","D",-0.27657
"111th","Murkowski","Lisa","AK","R",1.199511
"111th","Murray","Patty","WA","D",-0.75717
"111th","Nelson","Ben","NE","D",0.295855
"111th","Nelson","Bill","FL","D",0.104082
"111th","Pryor","Mark","AR","D",-0.13924
"111th","Reed","Jack","RI","D",-0.8462
"111th","Risch","Jim","ID","R",-0.81773
"111th","Roberts","Pat","KS","R",-0.24327
"111th","Rockefeller","Jay","WV","D",-0.45928
"111th","Sanders","Bernie","VT","D",-1.12887
"111th","Schumer","Chuck","NY","D",-0.65208
"111th","Sessions","Jeff","AL","R",-0.50229
"111th","Shaheen","Jeanne","NH","D",-0.24298
"111th","Shelby","Richard","AL","R",-1.04134
"111th","Snowe","Olympia","ME","R",2.637516
"111th","Specter","Arlen","PA","D",-1.06881
"111th","Stabenow","Debbie","MI","D",-0.47264
"111th","Tester","Jon","MT","D",-0.48152
"111th","Thune","John","SD","R",0.397185
"111th","Udall","Mark","CO","D",-0.63468
"111th","Udall","Tom","NM","D",-1.16001
"111th","Vitter","David","LA","R",-0.50416
"111th","Voinovich","George","OH","R",1.96472
"111th","Warner","Mark","VA","D",-0.36639
"111th","Webb","Jim","VA","D",-0.31156
"111th","Whitehouse","Sheldon","RI","D",-0.79176
"111th","Wicker","Roger","MS","R",-0.37067
"111th","Wyden","Ron","OR","D",-0.35241
"110th","Smith","Gordon","OR","R",2.718033
"110th","Snowe","Olympia","ME","R",2.058388
"110th","Lugar","Richard","IN","R",1.889898
"110th","Lincoln","Blanche","AR","D",1.707906
"110th","Specter","Arlen","PA","R",1.663065
"110th","Domenici","Pete","NM","R",1.637686
"110th","Collins","Susan","ME","R",1.542245
"110th","Warner","John","VA","R",1.512425
"110th","Conrad","Kent","ND","D",1.372446
"110th","Coleman","Norm","MN","R",1.348349
"110th","Grassley","Chuck","IA","R",1.334054
"110th","Nelson","Ben","NE","D",1.321263
"110th","Bingaman","Jeff","NM","D",1.140003
"110th","Hatch","Orrin","UT","R",1.123483
"110th","Hagel","Chuck","NE","R",1.105567
"110th","Bond","Kit","MO","R",0.932699
"110th","Cochran","Thad","MS","R",0.862258
"110th","McCain","John","AZ","R",0.854752
"110th","Lieberman","Joe","CT","D",0.825711
"110th","Carper","Tom","DE","D",0.803081
"110th","Wyden","Ron","OR","D",0.78914
"110th","Voinovich","George","OH","R",0.786521
"110th","Salazar","Ken","CO","D",0.729451
"110th","Stevens","Ted","AK","R",0.725641
"110th","Leahy","Patrick","VT","D",0.703892
"110th","Johnson","Tim","SD","D",0.68741
"110th","Pryor","Mark","AR","D",0.678772
"110th","Baucus","Max","MT","D",0.676827
"110th","Landrieu","Mary","LA","D",0.648046
"110th","Harkin","Tom","IA","D",0.565903
"110th","Biden","Joe","DE","D",0.556175
"110th","Bayh","Evan","IN","D",0.517205
"110th","Webb","Jim","VA","D",0.489339
"110th","Crapo","Mike","ID","R",0.483655
"110th","Bunning","Jim","KY","R",0.474514
"110th","Cardin","Ben","MD","D",0.445769
"110th","Nelson","Bill","FL","D",0.405631
"110th","Dorgan","Byron","ND","D",0.40366
"110th","Thune","John","SD","R",0.345901
"110th","Allard","Wayne","CO","R",0.329681
"110th","Kerry","John","MA","D",0.276677
"110th","Hutchison","Kay","TX","R",0.261282
"110th","Cantwell","Maria","WA","D",0.248778
"110th","Brownback","Sam","KS","R",0.247898
"110th","Klobuchar","Amy","MN","D",0.246509
"110th","Dole","Elizabeth","NC","R",0.23186
"110th","Rockefeller","Jay","WV","D",0.228783
"110th","Reed","Jack","RI","D",0.222883
"110th","Kennedy","Ted","MA","D",0.218964
"110th","Stabenow","Debbie","MI","D",0.204984
"110th","Martinez","Mel","FL","R",0.202842
"110th","Sununu","John","NH","R",0.195769
"110th","Inouye","Daniel","HI","D",0.156951
"110th","Chambliss","Saxby","GA","R",0.154351
"110th","Alexander","Lamar","TN","R",0.151519
"110th","Durbin","Dick","IL","D",0.150868
"110th","Murkowski","Lisa","AK","R",0.122407
"110th","Lott","Trent","MS","R",0.122203
"110th","Enzi","Mike","WY","R",0.115882
"110th","Corker","Bob","TN","R",0.109245
"110th","Ensign","John","NV","R",0.107549
"110th","Mikulski","Barbara","MD","D",0.067395
"110th","Feinstein","Dianne","CA","D",0.066608
"110th","Gregg","Judd","NH","R",0.061546
"110th","Kohl","Herb","WI","D",0.060078
"110th","Casey","Bob","PA","D",0.009973
"110th","Dodd","Chris","CT","D",-0.0047
"110th","Roberts","Pat","KS","R",-0.00994
"110th","McCaskill","Claire","MO","D",-0.01456
"110th","Akaka","Daniel","HI","D",-0.0709
"110th","Burr","Richard","NC","R",-0.15464
"110th","Feingold","Russ","WI","D",-0.16007
"110th","Graham","Lindsey","SC","R",-0.20966
"110th","Isakson","Johnny","GA","R",-0.24732
"110th","Brown","Sherrod","OH","D",-0.27162
"110th","Clinton","Hillary","NY","D",-0.30454
"110th","Lautenberg","Frank","NJ","D",-0.32126
"110th","Murray","Patty","WA","D",-0.36781
"110th","Cornyn","John","TX","R",-0.40268
"110th","Tester","Jon","MT","D",-0.4053
"110th","Craig","Larry","ID","R",-0.43577
"110th","Obama","Barack","IL","D",-0.44295
"110th","Sanders","Bernie","VT","D",-0.49134
"110th","Bennett","Bob","UT","R",-0.49748
"110th","Schumer","Chuck","NY","D",-0.50865
"110th","Sessions","Jeff","AL","R",-0.50906
"110th","Levin","Carl","MI","D",-0.52979
"110th","Boxer","Barbara","CA","D",-0.65327
"110th","Vitter","David","LA","R",-0.76557
"110th","Whitehouse","Sheldon","RI","D",-0.80056
"110th","Inhofe","Jim","OK","R",-0.81195
"110th","Barrasso","John","WY","R",-0.89613
"110th","Menéndez","Bob","NJ","D",-0.90422
"110th","Byrd","Robert","WV","D",-0.95158
"110th","Wicker","Roger","MS","R",-0.96495
"110th","Kyl","Jon","AZ","R",-1.05846
"110th","Shelby","Richard","AL","R",-1.09441
"110th","Coburn","Tom","OK","R",-1.38334
"110th","DeMint","Jim","SC","R",-2.03566
"110th","Akaka","Daniel","HI","D",-0.0709
"110th","Alexander","Lamar","TN","R",0.151519
"110th","Allard","Wayne","CO","R",0.329681
"110th","Barrasso","John","WY","R",-0.89613
"110th","Baucus","Max","MT","D",0.676827
"110th","Bayh","Evan","IN","D",0.517205
"110th","Bennett","Bob","UT","R",-0.49748
"110th","Biden","Joe","DE","D",0.556175
"110th","Bingaman","Jeff","NM","D",1.140003
"110th","Bond","Kit","MO","R",0.932699
"110th","Boxer","Barbara","CA","D",-0.65327
"110th","Brown","Sherrod","OH","D",-0.27162
"110th","Brownback","Sam","KS","R",0.247898
"110th","Bunning","Jim","KY","R",0.474514
"110th","Burr","Richard","NC","R",-0.15464
"110th","Byrd","Robert","WV","D",-0.95158
"110th","Cantwell","Maria","WA","D",0.248778
"110th","Cardin","Ben","MD","D",0.445769
"110th","Carper","Tom","DE","D",0.803081
"110th","Casey","Bob","PA","D",0.009973
"110th","Chambliss","Saxby","GA","R",0.154351
"110th","Clinton","Hillary","NY","D",-0.30454
"110th","Coburn","Tom","OK","R",-1.38334
"110th","Cochran","Thad","MS","R",0.862258
"110th","Coleman","Norm","MN","R",1.348349
"110th","Collins","Susan","ME","R",1.542245
"110th","Conrad","Kent","ND","D",1.372446
"110th","Corker","Bob","TN","R",0.109245
"110th","Cornyn","John","TX","R",-0.40268
"110th","Craig","Larry","ID","R",-0.43577
"110th","Crapo","Mike","ID","R",0.483655
"110th","DeMint","Jim","SC","R",-2.03566
"110th","Dodd","Chris","CT","D",-0.0047
"110th","Dole","Elizabeth","NC","R",0.23186
"110th","Domenici","Pete","NM","R",1.637686
"110th","Dorgan","Byron","ND","D",0.40366
"110th","Durbin","Dick","IL","D",0.150868
"110th","Ensign","John","NV","R",0.107549
"110th","Enzi","Mike","WY","R",0.115882
"110th","Feingold","Russ","WI","D",-0.16007
"110th","Feinstein","Dianne","CA","D",0.066608
"110th","Graham","Lindsey","SC","R",-0.20966
"110th","Grassley","Chuck","IA","R",1.334054
"110th","Gregg","Judd","NH","R",0.061546
"110th","Hagel","Chuck","NE","R",1.105567
"110th","Harkin","Tom","IA","D",0.565903
"110th","Hatch","Orrin","UT","R",1.123483
"110th","Hutchison","Kay","TX","R",0.261282
"110th","Inhofe","Jim","OK","R",-0.81195
"110th","Inouye","Daniel","HI","D",0.156951
"110th","Isakson","Johnny","GA","R",-0.24732
"110th","Johnson","Tim","SD","D",0.68741
"110th","Kennedy","Ted","MA","D",0.218964
"110th","Kerry","John","MA","D",0.276677
"110th","Klobuchar","Amy","MN","D",0.246509
"110th","Kohl","Herb","WI","D",0.060078
"110th","Kyl","Jon","AZ","R",-1.05846
"110th","Landrieu","Mary","LA","D",0.648046
"110th","Lautenberg","Frank","NJ","D",-0.32126
"110th","Leahy","Patrick","VT","D",0.703892
"110th","Levin","Carl","MI","D",-0.52979
"110th","Lieberman","Joe","CT","D",0.825711
"110th","Lincoln","Blanche","AR","D",1.707906
"110th","Lott","Trent","MS","R",0.122203
"110th","Lugar","Richard","IN","R",1.889898
"110th","Martinez","Mel","FL","R",0.202842
"110th","McCain","John","AZ","R",0.854752
"110th","McCaskill","Claire","MO","D",-0.01456
"110th","Menéndez","Bob","NJ","D",-0.90422
"110th","Mikulski","Barbara","MD","D",0.067395
"110th","Murkowski","Lisa","AK","R",0.122407
"110th","Murray","Patty","WA","D",-0.36781
"110th","Nelson","Ben","NE","D",1.321263
"110th","Nelson","Bill","FL","D",0.405631
"110th","Obama","Barack","IL","D",-0.44295
"110th","Pryor","Mark","AR","D",0.678772
"110th","Reed","Jack","RI","D",0.222883
"110th","Roberts","Pat","KS","R",-0.00994
"110th","Rockefeller","Jay","WV","D",0.228783
"110th","Salazar","Ken","CO","D",0.729451
"110th","Sanders","Bernie","VT","D",-0.49134
"110th","Schumer","Chuck","NY","D",-0.50865
"110th","Sessions","Jeff","AL","R",-0.50906
"110th","Shelby","Richard","AL","R",-1.09441
"110th","Smith","Gordon","OR","R",2.718033
"110th","Snowe","Olympia","ME","R",2.058388
"110th","Specter","Arlen","PA","R",1.663065
"110th","Stabenow","Debbie","MI","D",0.204984
"110th","Stevens","Ted","AK","R",0.725641
"110th","Sununu","John","NH","R",0.195769
"110th","Tester","Jon","MT","D",-0.4053
"110th","Thune","John","SD","R",0.345901
"110th","Vitter","David","LA","R",-0.76557
"110th","Voinovich","George","OH","R",0.786521
"110th","Warner","John","VA","R",1.512425
"110th","Webb","Jim","VA","D",0.489339
