idx,name,class,start,end,cost,col2,date,date2,mid,monday,year,display_name,label
139,Numerous Wildfires,ind wildfire-ind,2006-01-01,2006-12-31,1.8,#9b0e11,2006-01-01,2006-12-31,2006-07-02,2017-07-02,2006,Numerous Wildfires,NA
140,Midwest/ Southeast/ Northeast Tornadoes and Flooding,ind severe-storm-ind,2014-04-27,2014-05-01,1.8,#9d76b0,2014-04-27,2014-05-01,2014-04-29,2017-04-29,2014,Midwest/Southeast/Northeast Tornadoes and Flooding,NA
141,Central/ Southeast Tornado Outbreak,ind severe-storm-ind,2017-02-28,2017-03-01,1.8,#9d76b0,2017-02-28,2017-03-01,2017-02-28,2017-02-28,2017,Central/Southeast Tornado Outbreak,NA
142,"Midwest/ Southeast/ Northeast Winter Storm, Cold Wave",ind winter-storm-ind,1982-01-08,1982-01-16,1.7,#61c6e2,1982-01-08,1982-01-16,1982-01-12,2017-01-12,1982,"Midwest/Southeast/Northeast Winter Storm, Cold Wave",NA
143,"Winter Storm, Cold Wave",ind winter-storm-ind,1994-01-17,1994-01-20,1.7,#61c6e2,1994-01-17,1994-01-20,1994-01-18,2017-01-18,1994,"Winter Storm, Cold Wave",NA
144,Tropical Storm Alberto,ind tropical-cyclone-ind,1994-07-07,1994-07-10,1.7,#397dc2,1994-07-07,1994-07-10,1994-07-08,2017-07-08,1994,Tropical Storm Alberto,1
145,Texas Flooding,ind flooding-ind,1994-10-16,1994-10-25,1.7,#699d8f,1994-10-16,1994-10-25,1994-10-20,2017-10-20,1994,Texas Flooding,NA
146,South/ Southeast Severe Weather & Tornadoes,ind severe-storm-ind,2009-04-09,2009-04-10,1.7,#9d76b0,2009-04-09,2009-04-10,2009-04-09,2017-04-09,2009,South/Southeast Severe Weather & Tornadoes,NA
147,"Severe Storms, Tornadoes",ind severe-storm-ind,1998-05-30,1998-06-02,1.7,#9d76b0,1998-05-30,1998-06-02,1998-05-31,2017-05-31,1998,"Severe Storms, Tornadoes",NA
148,Severe Storms and Tornadoes,ind severe-storm-ind,2006-03-08,2006-03-13,1.7,#9d76b0,2006-03-08,2006-03-13,2006-03-10,2017-03-10,2006,Severe Storms and Tornadoes,NA
149,Missouri and Arkansas Flooding and Central Severe Weather,ind flooding-ind,2017-04-25,2017-05-07,1.7,#699d8f,2017-04-25,2017-05-07,2017-05-01,2017-05-01,2017,Missouri and Arkansas Flooding and Central Severe Weather,NA
150,Midwest/ Southeast Tornadoes and Severe Weather,ind severe-storm-ind,2011-06-18,2011-06-22,1.7,#9d76b0,2011-06-18,2011-06-22,2011-06-20,2017-06-20,2011,Midwest/Southeast Tornadoes and Severe Weather,NA
151,Midwest/ Plains Tornadoes,ind severe-storm-ind,1994-04-25,1994-04-27,1.7,#9d76b0,1994-04-25,1994-04-27,1994-04-26,2017-04-26,1994,Midwest/Plains Tornadoes,NA
152,"Hail, Tornadoes",ind severe-storm-ind,1992-04-28,1992-04-29,1.7,#9d76b0,1992-04-28,1992-04-29,1992-04-28,2017-04-28,1992,"Hail, Tornadoes",NA
153,California Freeze,ind freeze-ind,2007-01-11,2007-01-17,1.7,#61c6e2,2007-01-11,2007-01-17,2007-01-14,2017-01-14,2007,California Freeze,NA
