frame.number,frame.time,eth.src,eth.dst,ip.src,frame.len,ip.dst,ip.proto
"262","Feb  9, 1970 02:07:53.408234000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","54","23.54.187.27","6"
"263","Feb  9, 1970 02:07:53.441113000 EST","52:54:00:12:34:56","52:55:0a:00:02:03","10.0.2.15","77","10.0.2.3","17"
"264","Feb  9, 1970 02:07:53.464030000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","10.0.2.3","93","10.0.2.15","17"
"265","Feb  9, 1970 02:07:53.477425000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","66","178.255.83.1","6"
"266","Feb  9, 1970 02:07:53.509266000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","178.255.83.1","58","10.0.2.15","6"
"267","Feb  9, 1970 02:07:53.509860000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","54","178.255.83.1","6"
"268","Feb  9, 1970 02:07:53.511587000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","370","178.255.83.1","6"
"269","Feb  9, 1970 02:07:53.511638000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","178.255.83.1","54","10.0.2.15","6"
"270","Feb  9, 1970 02:07:53.536338000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","178.255.83.1","259","10.0.2.15","6"
"271","Feb  9, 1970 02:07:53.536387000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","178.255.83.1","54","10.0.2.15","6"
"272","Feb  9, 1970 02:07:53.538406000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","54","178.255.83.1","6"
"273","Feb  9, 1970 02:07:53.539878000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","54","178.255.83.1","6"
"274","Feb  9, 1970 02:07:53.539909000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","178.255.83.1","54","10.0.2.15","6"
"275","Feb  9, 1970 02:07:53.831748000 EST","52:54:00:12:34:56","52:55:0a:00:02:03","10.0.2.15","78","10.0.2.3","17"
"276","Feb  9, 1970 02:07:53.847051000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","10.0.2.3","94","10.0.2.15","17"
"277","Feb  9, 1970 02:07:53.860594000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","66","178.255.83.1","6"
"278","Feb  9, 1970 02:07:53.883299000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","178.255.83.1","58","10.0.2.15","6"
"279","Feb  9, 1970 02:07:53.883901000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","54","178.255.83.1","6"
"280","Feb  9, 1970 02:07:53.886615000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","371","178.255.83.1","6"
"281","Feb  9, 1970 02:07:53.886666000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","178.255.83.1","54","10.0.2.15","6"
"282","Feb  9, 1970 02:07:53.914737000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","178.255.83.1","928","10.0.2.15","6"
"283","Feb  9, 1970 02:07:53.914791000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","178.255.83.1","54","10.0.2.15","6"
"284","Feb  9, 1970 02:07:53.915385000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","54","178.255.83.1","6"
"285","Feb  9, 1970 02:07:53.915901000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","54","178.255.83.1","6"
"286","Feb  9, 1970 02:07:53.915931000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","178.255.83.1","54","10.0.2.15","6"
"287","Feb  9, 1970 02:07:54.231838000 EST","52:54:00:12:34:56","52:55:0a:00:02:03","10.0.2.15","90","10.0.2.3","17"
"288","Feb  9, 1970 02:07:54.272022000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","10.0.2.3","282","10.0.2.15","17"
"289","Feb  9, 1970 02:07:54.289523000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","66","184.29.106.136","6"
"290","Feb  9, 1970 02:07:54.306582000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","184.29.106.136","58","10.0.2.15","6"
"291","Feb  9, 1970 02:07:54.307195000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","54","184.29.106.136","6"
"292","Feb  9, 1970 02:07:54.309197000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","356","184.29.106.136","6"
"293","Feb  9, 1970 02:07:54.309240000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","184.29.106.136","54","10.0.2.15","6"
"294","Feb  9, 1970 02:07:54.339908000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","184.29.106.136","307","10.0.2.15","6"
"295","Feb  9, 1970 02:07:54.605033000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","54","184.29.106.136","6"
"296","Feb  9, 1970 02:07:55.018514000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","341","93.184.215.200","6"
"297","Feb  9, 1970 02:07:55.018554000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","93.184.215.200","54","10.0.2.15","6"
"298","Feb  9, 1970 02:07:55.035703000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","93.184.215.200","449","10.0.2.15","6"
"299","Feb  9, 1970 02:07:55.322559000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","54","93.184.215.200","6"
