"county","population","educational_attainment","poverty_rate","pct_adults_not_working","housing_vacancy_rate","median_income_ratio","employment_change_pct","business_change_pct","distress_score","population_in_distress_count","pct_pop_in_distress","distress_rank"
"Platte County, NE",32490,11,9,30,5,106,0.3,-2,13.7,0,0,2699
"Torrance County, NM",16040,17,29,59,14,77,3.2,-0.9,84.4,9500,59,489
"Ogemaw County, MI",21370,15,22,57,6,73,1.9,-3.6,72.9,7640,36,847
"Henry County, IA",20200,9,16,44,9,93,2.5,0.8,30.6,0,0,2171
"Union County, IA",12550,9,13,38,9,84,-2.6,-1.8,37.2,0,0,1964
"Beltrami County, MN",45240,10,21,42,7,72,-0.3,1.7,44.8,2630,6,1727
"McLeod County, MN",36170,9,8,34,6,92,-3.4,-4.5,24.2,0,0,2372
"Hamilton County, NE",9100,6,9,34,8,111,-2.6,-3,15.8,50,1,2633
"Floyd County, IA",16150,11,14,38,7,82,-5.5,0.7,35.1,0,0,2030
"Wilson County, KS",9180,17,19,45,10,75,-0.6,2.9,61.7,30,0,1200
"Eau Claire County, WI",100610,7,15,34,4,91,0.4,0.7,15.2,0,0,2653
"Ector County, TX",144930,27,15,37,8,104,27.2,10.7,15.7,0,0,2638
"Zavala County, TX",12010,40,32,49,14,52,-2.8,0.9,91.6,12010,100,263
"Douglas County, SD",2990,17,13,35,8,98,-6.2,-2.8,41.6,0,0,1827
"Yuma County, CO",10130,11,10,37,11,73,-3.6,3.9,37.8,0,0,1946
"Franklin County, GA",22050,28,21,53,13,73,15.7,-4.4,84.3,13110,59,490
"Stevens County, KS",5740,17,13,33,14,111,18.1,0.7,21.7,0,0,2450
"Graves County, KY",37450,19,19,47,14,91,3.4,2,59,2830,8,1285
"Adams County, PA",101570,13,10,39,5,113,1.6,-0.6,15.6,0,0,2641
"Brown County, SD",37530,8,10,31,7,104,3.4,-4.6,14.1,0,0,2689
"Monroe County, MS",36380,22,21,52,14,93,0.3,-5.8,85.2,19060,52,465
"Stone County, MO",31590,15,16,54,10,84,-27.3,-1.3,72.5,8530,27,860
"Faribault County, MN",14340,10,13,39,10,75,-1.7,-4.9,52.3,1530,11,1494
"Bethel Census Area, AK",17580,20,24,48,15,72,-6.6,12.1,81.4,2030,12,582
"Montgomery County, IA",10550,12,17,44,12,83,-9.1,-4.3,71.2,6750,64,901
"Chilton County, AL",43780,23,19,48,12,96,9.5,-4.4,65.1,15160,35,1092
"Blaine County, NE",590,1,16,33,16,92,-11.1,-11.1,56.7,0,0,1356
"Montgomery County, OH",534800,11,19,45,12,89,3.1,-1.4,53.6,111180,21,1453
"Fayette County, OH",28880,16,18,46,8,83,1.8,-5.5,62.3,280,1,1179
"Kingfisher County, OK",15200,14,7,36,10,127,12.7,-0.8,11.2,0,0,2779
"Orange County, IN",19760,18,18,48,10,79,5,2.6,53.9,710,4,1443
"Palo Alto County, IA",9260,8,10,37,10,88,3.3,-2.8,25.9,0,0,2317
"Crawford County, IA",17260,22,18,38,7,90,-1.8,-1.7,52.7,70,0,1480
"Logan County, IL",30050,13,13,56,8,87,1,-7.4,60,0,0,1251
"Clare County, MI",30790,16,27,59,5,68,3.2,-2.1,73.6,530,2,827
"Johnson County, IN",143790,8,11,37,8,124,15.4,3.7,2.9,0,0,3038
"Lyon County, MN",25720,8,14,30,9,84,-2.1,-1.7,32.3,0,0,2118
"Wexford County, MI",32700,11,19,49,7,82,-2.1,0.8,51.5,4530,14,1520
"Dodge County, WI",88590,13,9,40,8,101,10.6,-3.1,18.7,0,0,2544
"Ripley County, IN",28600,13,8,42,8,103,9.4,-2,19.1,0,0,2530
"Fayette County, IN",23960,20,21,52,13,78,4.6,-6.5,85.3,23210,97,460
"Bastrop County, TX",75710,20,16,45,9,102,10.8,12.4,28.3,0,0,2242
"Covington city, VA",5850,18,22,51,15,59,6.3,-4.2,85.6,0,0,451
"Charlottesville city, VA",44510,11,28,41,9,73,2.7,0,53.6,0,0,1454
"Fayette County, TX",24730,20,12,43,14,93,6.6,1,42.1,320,1,1811
"Franklin County, TX",10600,16,14,47,9,84,-0.9,-8.2,66.3,540,5,1054
"Edmunds County, SD",4040,12,12,35,10,108,4.3,9.3,11.8,0,0,2759
"La Paz County, AZ",20350,23,18,63,10,74,-0.5,0.3,79.4,2330,12,645
"Benewah County, ID",9150,14,16,50,10,82,-2.8,-5.8,72.9,0,0,849
"Baltimore city, MD",622270,19,24,47,18,56,3.7,-0.3,82.3,344080,55,554
"Potter County, PA",17450,12,14,50,7,79,-2.6,-7.7,65.3,4100,24,1085
"Hardeman County, TN",26560,24,26,62,14,68,-0.7,-1.6,94.3,18070,68,179
"Branch County, MI",43970,13,18,49,9,87,7.2,-1.6,49.2,2320,5,1592
"Lanier County, GA",10360,22,31,55,12,75,-18.1,-17.1,98.2,10230,99,57
"Hancock County, IA",11180,8,9,36,12,99,9,3.3,9.4,0,0,2835
