"";"rodzaj";"kod.pocztowy";"miasto";"ulica";"Lat";"Long"
"1114";"STM";"10-692";"OLSZTYN";"PIOTROWSKIEGO 16G";53,73682;20,49069
"1115";"POZ";"10-692";"OLSZTYN";"FLORIANA PIOTROWSKIEGO 16/I, J";53,73705;20,49074
"1116";"STM";"10-689";"OLSZTYN";"PIOTROWSKIEGO 16H";53,73705;20,49074
"1117";"STM";"10-692";"OLSZTYN";"PIOTROWSKIEGO 10/A";53,73745;20,49077
"1118";"STM";"10-346";"OLSZTYN";"NIEDZIA£KOWSKIEGO 4/2";53,78671;20,49077
"1119";"STM";"10-501";"OLSZTYN";"NIEDZIA£KOWSKIEGO 4/2";53,78671;20,49077
"1120";"AOS";"10-900";"OLSZTYN";"PIOTROWSKIEGO 10G";53,73752;20,491
"1122";"AOS";"10-900";"OLSZTYN";"LIMANOWSKIEGO 17/19";53,7868;20,49116
"1123";"STM";"10-900";"OLSZTYN";"LIMANOWSKIEGO 17/19";53,7868;20,49116
"1124";"STM";"10-560";"OLSZTYN";"¯O£NIERSKA 19";53,77114;20,49129
"1125";"ZPO";"10-560";"OLSZTYN";"¯O£NIERSKA 19";53,77114;20,49129
"1126";"ZPO";"10-340";"OLSZTYN";"LIMANOWSKIEGO 1-13/19";53,78772;20,49134
"1127";"POZ";"10-686";"OLSZTYN";"WILCZYÑSKIEGO 27A";53,7402;20,4916
"1128";"SPO";"10-513";"OLSZTYN";"KOPERNIKA 30";53,78263;20,49165
"1129";"ZPO";"10-341";"OLSZTYN";"LIMANOWSKIEGO 4/12";53,78567;20,49169
"1130";"STM";"10-686";"OLSZTYN";"T. WILCZYÑSKIEGO 27/1";53,74025;20,49182
"1131";"ZPO";"10-959";"OLSZTYN";"PLAC BEMA 5";53,78335;20,49184
"1132";"AOS";"10-513";"OLSZTYN";"MIKO£AJA KOPERNIKA 30";53,7827;20,49203
"1133";"AOS";"10-513";"OLSZTYN";"KOPERNIKA 30";53,7827;20,49209
"1134";"SZP";"10-513";"OLSZTYN";"KOPERNIKA 30";53,7827;20,49209
"1135";"ZPO";"10-513";"OLSZTYN";"KOPERNIKA 30";53,7827;20,49209
"1136";"AOS";"10-561";"OLSZTYN";"¯O£NIERSKA 18";53,76986;20,49211
"1137";"AOS";"10-561";"OLSZTYN";"¯O£NIERSKA 18 A";53,76986;20,49211
"1138";"AOS";"10-561";"OLSZTYN";"¯O£NIERSKA 18A";53,76986;20,49211
"1139";"POZ";"10-561";"OLSZTYN";"¯O£NIERSKA 18";53,76986;20,49211
"1140";"POZ";"10-561";"OLSZTYN";"¯O£NIERSKA 18 A";53,76986;20,49211
"1141";"PRO";"10-561";"OLSZTYN";"¯O£NIERSKA 18";53,76986;20,49211
"1142";"PSY";"10-561";"OLSZTYN";"¯O£NIERSKA 18 A";53,76986;20,49211
"1143";"REH";"10-561";"OLSZTYN";"¯O£NIERSKA 18";53,76986;20,49211
"1144";"REH";"10-561";"OLSZTYN";"¯O£NIERSKA 18 A";53,76986;20,49211
"1145";"SOK";"10-561";"OLSZTYN";"¯O£NIERSKA 18";53,76986;20,49211
"1146";"SOK";"10-561";"OLSZTYN";"¯O£NIERSKA 18 A";53,76986;20,49211
"1147";"STM";"10-561";"OLSZTYN";"¯O£NIERSKA 18 A";53,76986;20,49211
"1148";"STM";"10-561";"OLSZTYN";"¯O£NIERSKA 18A";53,76986;20,49211
"1149";"SZP";"10-561";"OLSZTYN";"¯O£NIERSKA 18";53,76986;20,49211
"1150";"SZP";"10-561";"OLSZTYN";"¯O£NIERSKA 18 A";53,76986;20,49211
"1151";"ZPO";"10-561";"OLSZTYN";"ZO£NIERSKA 18F";53,76986;20,49211
"1152";"ZPO";"10-561";"OLSZTYN";"¯O£NIERSKA 18";53,76986;20,49211
"1153";"ZPO";"10-561";"OLSZTYN";"¯O£NIERSKA 18A/G. 103";53,76986;20,49211
"1154";"ZPO";"10-561";"OLSZTYN";"¯O£NIERSKA 18F";53,76986;20,49211
"1155";"ZPO";"10-561";"OLSZTYN";"¯O£NIERSKA 18F/18";53,76986;20,49211
"1156";"ZPO";"10-561";"OLSZTYN";"¯O£NIERSKA 18/G. 72";53,76986;20,49211
"1157";"STM";"10-561";"OLSZTYN";"¯O£NIERSK 18";53,76986;20,49211
"1158";"POZ";"10-504";"OLSZTYN";"KOŒCIUSZKI 32/2";53,78158;20,49222
"1159";"ZPO";"10-684";"OLSZTYN";"OR£OWICZA 8A";53,75374;20,49252
"1161";"POZ";"10-450";"OLSZTYN";"AL. PI£SUDSKIEGO 42";53,77475;20,4927
"1162";"ZPO";"10-601";"OLSZTYN";"PSTROWSKIEGO 16";53,76435;20,49272
"1163";"POZ";"10-156";"OLSZTYN";"PLAC BEMA 4/2";53,78322;20,49276
"1164";"STM";"10-450";"OLSZTYN";"PI£SUDSKIEGO 42";53,77472;20,49279
"1165";"AOS";"10-692";"OLSZTYN";"MROZA 13C";53,74015;20,4928
"1166";"AOS";"10-685";"OLSZTYN";"PAUKSZTY 57";53,75212;20,49282
"1167";"POZ";"10-685";"OLSZTYN";"PAUKSZTY 57";53,75212;20,49282
"1168";"REH";"10-685";"OLSZTYN";"PAUKSZTY 57";53,75212;20,49282
"1169";"SPO";"10-685";"OLSZTYN";"PAUKSZTY 57";53,75212;20,49282
"1170";"STM";"10-685";"OLSZTYN";"PAUKSZTY 57";53,75212;20,49282
"1175";"POZ";"10-959";"OLSZTYN";"KOŒCIUSZKI 46/48/21";53,79027;20,493
"1176";"STM";"10-443";"OLSZTYN";"KO£OBRZESKA 10/1";53,77893;20,49319
"1177";"ZPO";"10-680";"OLSZTYN";"HANKI SAWICKIEJ 2";53,7931;20,4933
"1179";"POZ";"10-431";"OLSZTYN";"KO£OBRZESKA 9";53,77812;20,49337
"1180";"POZ";"10-444";"OLSZTYN";"KO£OBRZESKA 9";53,77812;20,49337
"1181";"POZ";"10-275";"OLSZTYN";"MONIUSZKI 10";53,78692;20,49362
"1182";"REH";"10-560";"OLSZTYN";"¯O£NIERSKA 27";53,77118;20,49365
"1183";"ZPO";"10-504";"OLSZTYN";"KOŒCIUSZKI 16/18";53,78274;20,49375
"1184";"AOS";"10-684";"OLSZTYN";"WAÑKOWICZA 5/209";53,75385;20,49383
"1185";"AOS";"10-684";"OLSZTYN";"WAÑKOWICZA 5";53,75385;20,49383
"1186";"POZ";"10-684";"OLSZTYN";"WAÑKOWICZA 5";53,75385;20,49383
"1187";"POZ";"10-686";"OLSZTYN";"WAÑKOWICZA 5";53,75385;20,49383
"1188";"POZ";"10-686";"OLSZTYN";"WAÑKOWICZA 5/7";53,75385;20,49383
"1189";"REH";"10-684";"OLSZTYN";"WAÑKOWICZA 5";53,75385;20,49383
"1190";"STM";"10-684";"OLSZTYN";"WAÑKOWICZA 5";53,75385;20,49383
"1191";"ZPO";"10-684";"OLSZTYN";"WAÑKOWICZA 5";53,75385;20,49383
"1192";"STM";"10-684";"OLSZTYN";"WAÑKOWICZA 5/305";53,75385;20,49383
"1193";"ZPO";"10-503";"OLSZTYN";"KOŒCIUSZKI 29/21";53,78136;20,49393
"1194";"POZ";"10-041";"OLSZTYN";"PADEREWSKIEGO 10/12";53,7875;20,49425
"1195";"STM";"10-239";"OLSZTYN";"PADEREWSKIEGO 10/12";53,7875;20,49425
"1196";"AOS";"10-401";"OLSZTYN";"PARTYZANTÓW 36";53,78447;20,49427
"1197";"ZPO";"10-401";"OLSZTYN";"PARTYZANTÓW 36";53,78447;20,49427
"1199";"STM";"10-762";"OLSZTYN";"JAROSZYKA 8";53,74265;20,49456
"1200";"POZ";"10-560";"OLSZTYN";"¯O£NIERSKA 39";53,76993;20,49498
"1201";"ZPO";"10-283";"OLSZTYN";"JAGIELLOÑSKA 55A/6A";53,7929;20,49524
"1202";"STM";"10-446";"OLSZTYN";"WESTERPLATTE 1/106D";53,77957;20,49535
"1203";"STM";"10-283";"OLSZTYN";"TORUÑSKA 1A/43";53,79509;20,49551
"1204";"AOS";"10-687";"OLSZTYN";"JAROSZYKA 3";53,74232;20,49553
"1205";"STM";"10-687";"OLSZTYN";"JAROSZYKA 3";53,74232;20,49553
"1206";"POZ";"10-507";"OLSZTYN";"KÊTRZYÑSKIEGO 10";53,78138;20,49554
"1207";"POZ";"10-699";"OLSZTYN";"PIECZEWSKA 10";53,74473;20,49577
"1208";"STM";"10-699";"OLSZTYN";"PIECZEWSKA 10";53,74473;20,49577
"1209";"STM";"10-283";"OLSZTYN";"JAGIELLOÑSKA 55B/14";53,79331;20,49578
"1210";"STM";"10-692";"OLSZTYN";"MROZA 20 B/2";53,73809;20,49581
"1211";"ZPO";"10-692";"OLSZTYN";"JANOWICZA 4/L";53,73989;20,49595
"1212";"AOS";"10-506";"OLSZTYN";"KÊTRZYÑSKIEGO 5/7A";53,78213;20,49606
"1213";"SZP";"10-506";"OLSZTYN";"KÊTRZYÑSKIEGO 5/7A";53,78213;20,49606
"1214";"ZPO";"10-501";"OLSZTYN";"KOŒCIUSZKI 13";53,78353;20,4963
"1215";"POZ";"10-685";"OLSZTYN";"TUROWSKIEGO 3";53,75092;20,49632
"1216";"POZ";"10-427";"OLSZTYN";"JASNA 2";53,78285;20,49645
"1217";"STM";"10-560";"OLSZTYN";"¯O£NIERSKA 41 B";53,76998;20,49655
"1218";"ZPO";"10-603";"OLSZTYN";"METALOWA 2";53,76341;20,49665
"1219";"AOS";"10-561";"OLSZTYN";"¯O£NIERSKA 41A";53,76915;20,49682
"1220";"STM";"10-560";"OLSZTYN";"¯O£NIERSKA 41A";53,76915;20,49682
"1221";"ZPO";"10-560";"OLSZTYN";"¯O£NIERSKA 41A";53,76915;20,49682
"1222";"ZPO";"10-692";"OLSZTYN";"JANOWICZA 3/J";53,74123;20,4972
"1224";"AOS";"10-501";"OLSZTYN";"PLAC KONSTYTUCJI  3 MAJA 3";53,7838;20,49748
"1225";"AOS";"10-501";"OLSZTYN";"PLAC KONSTYTUCJI 3 MAJA 3";53,7838;20,49748
"1226";"STM";"10-501";"OLSZTYN";"PLAC KONSTYTUCJI  3 MAJA 3";53,7838;20,49748
"1227";"POZ";"10-692";"OLSZTYN";"MROZA 25";53,73704;20,4975
"1228";"AOS";"10-691";"OLSZTYN";"JANOWICZA 3/B";53,74112;20,49768
"1229";"SPO";"10-691";"OLSZTYN";"JANOWICZA 1";53,7413;20,49777
